Etnia,Indicador,Escala,Modelo,Modelo_escolhido,RMSE,AIC,BIC,DW_p,LB_p
Amarelo,Casos,Linear,OLS+NW,GLS,1.0130070473716715,38.63723430757162,40.15015977254184,0.5861287405475233,0.2004845345020524
Amarelo,Casos,Linear,GLS AR(1),GLS,1.0487079058509727,33.640684734993165,35.45619529295744,NA,0.14517249903831098
Amarelo,Casos,Log,OLS+NW,GLS,0.3132766376300336,15.16539761424495,16.678323079215183,0.39685344217441176,0.48673739387672343
Amarelo,Casos,Log,GLS AR(1),GLS,0.32198105756562095,13.468398848641018,15.283909406605293,NA,0.3813958718067607
Amarelo,Internacao,Linear,OLS+NW,GLS,0.5827672029083043,27.579421038457184,29.092346503427414,0.9610686286355211,0.09378869775126719
Amarelo,Internacao,Linear,GLS AR(1),GLS,0.6278235287414282,11.484360235716196,13.299870793680471,NA,0.014989104901446781
Amarelo,Internacao,Log,OLS+NW,GLS,1.5827417391847034,47.56194308706458,49.07486855203481,0.9890900082693181,0.02785503231268116
Amarelo,Internacao,Log,GLS AR(1),GLS,1.6430679867155462,37.154902146095864,38.97041270406014,NA,0.003072662354879574
Branca,Casos,Linear,OLS+NW,GLS,0.29976144887517453,14.283404842939238,15.796330307909468,0.8043612606443942,0.766731014547577
Branca,Casos,Linear,GLS AR(1),GLS,0.30822311739809044,11.098511909150378,12.914022467114654,NA,0.5300494101458814
Branca,Casos,Log,OLS+NW,GLS,0.06501232762839255,-16.284796760855905,-14.771871295885674,0.8344506855772725,0.7163188470676223
Branca,Casos,Log,GLS AR(1),GLS,0.0674147762418002,-20.591449045676043,-18.77593848771177,NA,0.4379989475495787
Branca,Internacao,Linear,OLS+NW,OLS,0.1229360953727228,-3.5430415046615984,-2.030116039691368,0.629812927777766,0.7304641943008456
Branca,Internacao,Linear,GLS AR(1),OLS,0.1231321424727888,-3.350121993340288,-1.5346114353760125,NA,0.7319178915984503
Branca,Internacao,Log,OLS+NW,GLS,0.11777005499757097,-4.401654178655381,-2.8887287136851505,0.643764860848587,0.43115050091959894
Branca,Internacao,Log,GLS AR(1),GLS,0.11826030240737485,-4.468381619515011,-2.6528710615507354,NA,0.3908100344095422
Branca,Obito,Linear,OLS+NW,GLS,0.03159125748389043,-30.71872650729528,-29.20580104232505,0.7346889993794887,0.3131241748824086
Branca,Obito,Linear,GLS AR(1),GLS,0.032208532744369286,-33.871350047106745,-32.05583948914247,NA,0.16880824160434327
Branca,Obito,Log,OLS+NW,GLS,0.4175252086116845,20.910563531977576,22.423488996947807,0.9267623144803125,0.3714292650826019
Branca,Obito,Log,GLS AR(1),GLS,0.42639657359187844,11.359947190953935,13.175457748918213,NA,0.30111653168111996
Indigena,Casos,Linear,OLS+NW,GLS,10.876431406614316,86.11073450229027,87.6236599672605,0.11071858696201364,0.0472684509835547
Indigena,Casos,Linear,GLS AR(1),GLS,10.889870025992177,88.00915103255375,89.82466159051802,NA,0.03701764803545049
Indigena,Casos,Log,OLS+NW,GLS,0.1893742761122771,5.09817215938871,6.6110976243589405,0.11230313766384366,0.01816819618927845
Indigena,Casos,Log,GLS AR(1),GLS,0.18947098596176373,7.014420409580394,8.82993096754467,NA,0.014870013143075456
Indigena,Internacao,Linear,OLS+NW,GLS,1.7576196425315955,49.65797901998977,51.17090448496,0.3717703423541451,0.05115596005123024
Indigena,Internacao,Linear,GLS AR(1),GLS,1.7966095711124361,49.200779863960776,51.01629042192505,NA,0.026002231340620074
Indigena,Internacao,Log,OLS+NW,OLS,1.0240010992996087,38.85312266712373,40.36604813209396,0.355748314882375,0.25019745039031793
Indigena,Internacao,Log,GLS AR(1),OLS,1.044184852798442,39.18861582041414,41.004126378378416,NA,0.13556954808319022
Indigena,Obito,Linear,OLS+NW,GLS,1.0552080014473937,39.4535287693941,40.966454234364335,0.044904176087665656,0.7342717873178808
Indigena,Obito,Linear,GLS AR(1),GLS,1.0730052467239046,40.948830904816035,42.76434146278031,NA,0.6546928889116087
Indigena,Obito,Log,OLS+NW,OLS,2.320491235185838,55.21434871547058,56.72727418044081,0.08934096869743269,0.34032532301255447
Indigena,Obito,Log,GLS AR(1),OLS,2.368125284151614,56.32559765796731,58.14110821593158,NA,0.2771730937502914
Parda,Casos,Linear,OLS+NW,GLS,0.3655860123607344,18.25369667326878,19.76662213823901,0.6507176189953271,0.07964643003862404
Parda,Casos,Linear,GLS AR(1),GLS,0.37649021590891313,15.678734359591118,17.494244917555395,NA,0.03888951484604097
Parda,Casos,Log,OLS+NW,GLS,0.04741484758500292,-22.597626518719288,-21.084701053749058,0.7554309408012667,0.013182052655137833
Parda,Casos,Log,GLS AR(1),GLS,0.04971167862310714,-29.38466464372901,-27.569154085764737,NA,0.002951038679240736
Parda,Internacao,Linear,OLS+NW,GLS,0.25559024312641376,11.095176071309167,12.608101536279397,0.9015739306664597,0.2207796350914477
Parda,Internacao,Linear,GLS AR(1),GLS,0.25887203444908014,7.144331967328402,8.959842525292677,NA,0.16616070304391706
Parda,Internacao,Log,OLS+NW,GLS,0.12157371499647049,-3.7659191835948764,-2.252993718624646,0.7292997001102316,0.2625262158826802
Parda,Internacao,Log,GLS AR(1),GLS,0.12541971243105898,-7.665008754730895,-5.8494981967666195,NA,0.15529437406682323
Parda,Obito,Linear,OLS+NW,GLS,0.04413478140856956,-24.03137160217051,-22.51844613720028,0.7709330771122855,0.04611249734391776
Parda,Obito,Linear,GLS AR(1),GLS,0.04665867943639546,-29.270550519436384,-27.45503996147211,NA,0.014555054736293704
Parda,Obito,Log,OLS+NW,GLS,0.34684153016113184,17.201024888844906,18.713950353815136,0.6843872784663564,0.05610349761386446
Parda,Obito,Log,GLS AR(1),GLS,0.3663488837420334,12.786562911523633,14.602073469487909,NA,0.020619552448811085
Preta,Casos,Linear,OLS+NW,OLS,1.4027532767948028,45.147509296601484,46.660434761571715,0.2871944755097459,0.809179434334093
Preta,Casos,Linear,GLS AR(1),OLS,1.416971895539538,46.59721383208189,48.412724390046165,NA,0.65849750989595
Preta,Casos,Log,OLS+NW,OLS,0.10271060812545321,-7.138026836328994,-5.625101371358763,0.36000045485106663,0.7614850667240476
Preta,Casos,Log,GLS AR(1),OLS,0.10463715628928863,-6.165985597435213,-4.350475039470938,NA,0.5040833619529778
Preta,Internacao,Linear,OLS+NW,OLS,0.2777721751616699,12.75969036242429,14.272615827394521,0.21083283196463748,0.10383795154375153
Preta,Internacao,Linear,GLS AR(1),OLS,0.2780468128090034,14.404320994522418,16.219831552486696,NA,0.10873250637023713
