Ano;Taxa_100k;Etnia;Indicador 
2014;3.672022311;Branca;Casos
2015;3.828775478;Branca;Casos
2016;3.906115465;Branca;Casos
2017;4.230767717;Branca;Casos
2018;4.72615584;Branca;Casos
2019;5.171411814;Branca;Casos
2020;3.30620814;Branca;Casos
2021;3.535292498;Branca;Casos
2022;5.689272892;Branca;Casos
2023;5.842296294;Branca;Casos
2014;10.82113671;Preta;Casos
2015;12.17855771;Preta;Casos
2016;13.44460893;Preta;Casos
2017;11.63101259;Preta;Casos
2018;11.35207527;Preta;Casos
2019;17.61033525;Preta;Casos
2020;7.177894735;Preta;Casos
2021;9.438138619;Preta;Casos
2022;13.87288539;Preta;Casos
2023;16.17496352;Preta;Casos
2014;6.3473759;Parda;Casos
2015;5.759017321;Parda;Casos
2016;6.790153915;Parda;Casos
2017;7.074500244;Parda;Casos
2018;7.488966282;Parda;Casos
2019;8.192879261;Parda;Casos
2020;6.099465017;Parda;Casos
2021;6.917468546;Parda;Casos
2022;9.854301526;Parda;Casos
2023;11.62690641;Parda;Casos
2014;2.366882579;Amarelo;Casos
2015;5.484260173;Amarelo;Casos
2016;3.128421711;Amarelo;Casos
2017;3.925971874;Amarelo;Casos
2018;1.571523985;Amarelo;Casos
2019;1.578631642;Amarelo;Casos
2020;3.944698016;Amarelo;Casos
2021;2.675750261;Amarelo;Casos
2022;4.77812855;Amarelo;Casos
2023;4.920389324;Amarelo;Casos
2014;57.0498672;Indiginea;Casos
2015;78.94199157;Indiginea;Casos
2016;78.80512882;Indiginea;Casos
2017;44.67734579;Indiginea;Casos
2018;54.95580249;Indiginea;Casos
2019;73.91743703;Indiginea;Casos
2020;19.05657261;Indiginea;Casos
2021;19.3894896;Indiginea;Casos
2022;30.3374047;Indiginea;Casos
2023;55.01073049;Indiginea;Casos
2014;0.098862139;Branca;Obito
2015;0.028049637;Branca;Obito
2016;0.126003725;Branca;Obito
2017;0.04216712;Branca;Obito
2018;0.08439564;Branca;Obito
2019;0.113036324;Branca;Obito
2020;0.045919558;Branca;Obito
2021;0.062295903;Branca;Obito
2022;0.111242766;Branca;Obito
2023;0.229109659;Branca;Obito
2014;0.144281823;Preta;Obito
2015;0;Preta;Obito
2016;0;Preta;Obito
2017;0.143592748;Preta;Obito
2018;0.287394311;Preta;Obito
2019;0.14434701;Preta;Obito
2020;0.2208583;Preta;Obito
2021;0.112358793;Preta;Obito
2022;0.229303891;Preta;Obito
2023;0.354196281;Preta;Obito
